1,0
2,6
3,5
4,0
5,4
6,4
7,3
8,4
9,7
10,0
11,9
12,7
13,1
14,2
15,0
16,6
17,8
18,1
19,6
20,6
21,9
22,0
23,2
24,9
25,2
26,9
27,2
28,4
29,8
30,6
31,5
32,9
33,9
34,8
35,1
36,4
37,7
38,11
39,2
40,2
41,1
42,2
43,4
44,1
45,7
46,9
47,3
48,4
49,9
50,6
51,4
52,9
53,10
54,4
55,8
56,5
57,4
58,9
59,0
60,9
61,4
62,8
63,8
64,9
65,4
66,1
67,2
68,6
69,10
70,10
71,0
72,1
73,5
74,3
75,4
76,4
77,2
78,9
79,4
80,8
81,9
82,2
83,4
84,0
85,7
86,0
87,2
88,1
89,4
90,6
91,4
92,2
93,1
94,3
95,7
96,9
97,8
98,1
99,7
100,9
101,5
102,4
103,6
104,3
105,9
106,4
107,4
108,7
109,0
110,4
111,4
112,4
113,9
114,8
115,4
